timestamp,gpu_name,repeat,workload,batch_size,precision,power_limit_w,total_samples,runtime_s,avg_power_w,energy_j,energy_counter_j,throughput_sps,energy_per_sample_j,peak_power_w,avg_gpu_util,avg_mem_util,avg_sm_clock_mhz,avg_mem_clock_mhz,n_power_samples
2026-09-21T10:24:06+00:00,Tesla T4,0,resnet18,8,fp16,70.0,8192,4.325405477000004,66.87925607075854,289.27990050614477,288.8070000000007,1893.9264870219224,0.035312487854754,83.537,84.8953488372093,41.26744186046512,1299.4186046511627,5000.0,86
2026-09-21T10:24:12+00:00,Tesla T4,0,resnet18,128,fp16,70.0,8192,3.086255448999964,68.32841596182307,210.87894608371255,207.34999999999854,2654.3493030217073,0.025742058848109442,71.912,99.50819672131148,71.70491803278688,1091.5573770491803,5000.0,61
2026-09-21T10:24:23+00:00,Tesla T4,0,resnet18,128,fp32,70.0,8192,6.286537432999921,68.55925767651692,431.0003397621108,429.89500000000044,1303.1020792141846,0.05261234616236704,73.876,99.776,68.048,976.8,5000.0,125
2026-09-21T10:24:28+00:00,Tesla T4,0,resnet18,32,fp16,70.0,8192,3.3661594210000203,68.36533626285959,230.1286207310591,227.0600000000013,2433.63399513809,0.028091872647834363,73.817,99.19402985074628,66.6268656716418,1101.9402985074628,5000.0,67
2026-09-21T10:24:41+00:00,Tesla T4,0,resnet18,256,fp32,70.0,8192,6.366055137000103,67.9550590616124,432.60565282432304,434.59400000000096,1286.8251725291125,0.05280830722953162,71.912,99.84126984126983,80.85714285714286,917.9761904761905,5000.0,126
2026-09-21T10:24:50+00:00,Tesla T4,0,resnet18,16,fp32,70.0,8192,7.2410241320001205,67.92309104719915,491.83274139281036,496.92399999999907,1131.3316805280692,0.060038176439552046,70.825,99.77777777777777,79.125,1021.875,5000.0,144
2026-09-21T10:24:56+00:00,Tesla T4,0,resnet18,16,fp16,70.0,8192,3.677886742000055,66.79961804320897,245.6814295717859,243.6899999999987,2227.366032360514,0.029990408883274648,69.129,98.1917808219178,58.917808219178085,1119.4520547945206,5000.0,73
2026-09-21T10:25:02+00:00,Tesla T4,0,resnet18,64,fp16,70.0,8192,3.2961550019999777,67.5668919067586,222.71094872805418,227.22500000000218,2485.3200152994673,0.02718639510840505,69.857,99.4,67.58461538461539,1019.3076923076923,5000.0,65
2026-09-21T10:25:12+00:00,Tesla T4,0,resnet18,32,fp32,70.0,8192,6.879940240999986,68.05774589849428,468.2332247188025,468.1859999999979,1190.7080167907548,0.057157376064306945,74.853,99.69343065693431,65.85401459854015,939.3065693430657,5000.0,137
2026-09-21T10:25:23+00:00,Tesla T4,0,resnet18,8,fp32,70.0,8192,9.567177012000002,67.12092486867503,642.157769427767,643.9470000000001,856.260941939808,0.07838839958835046,69.564,98.7434554973822,60.82722513089005,1023.9267015706806,5000.0,191
2026-09-21T10:25:30+00:00,Tesla T4,0,resnet18,256,fp16,70.0,8192,3.277861235000046,67.59966612036521,221.5823250748911,225.91799999999785,2499.1906040829963,0.02704862366636854,70.194,99.63076923076923,66.92307692307692,948.0,5000.0,65
2026-09-21T10:25:40+00:00,Tesla T4,0,resnet18,64,fp32,70.0,8192,6.916306594999924,67.51761943981718,466.9725566103026,465.4210000000021,1184.4472027776105,0.05700348591434358,70.292,99.82608695652173,62.72463768115942,867.1739130434783,5000.0,138
2026-09-21T10:25:46+00:00,Tesla T4,1,resnet18,32,fp16,70.0,8192,3.533646625000074,66.5157135714213,235.0430267711245,242.97799999999916,2318.2850096109505,0.028691775728897032,68.082,98.45714285714286,63.57142857142857,1014.2142857142857,5000.0,70
2026-09-21T10:25:58+00:00,Tesla T4,1,resnet18,8,fp32,70.0,8192,9.701579773000049,67.12548046324893,651.2232035151658,651.9909999999982,844.3985610259806,0.07949501996034739,68.333,98.69430051813471,60.0,983.3160621761658,5000.0,193
2026-09-21T10:26:04+00:00,Tesla T4,1,resnet18,16,fp16,70.0,8192,3.84912595999981,66.04766307054284,254.22577452214722,260.61599999999817,2128.275376054569,0.03103341974147305,68.585,97.39473684210526,56.48684210526316,1050.592105263158,5000.0,76
2026-09-21T10:26:09+00:00,Tesla T4,1,resnet18,64,fp16,70.0,8192,3.4866931980000118,67.07619241286297,233.87410383366932,237.91799999999785,2349.5041102839164,0.028549084940633462,69.508,98.43478260869566,63.492753623188406,924.1304347826087,5000.0,69
2026-09-21T10:26:19+00:00,Tesla T4,1,resnet18,64,fp32,70.0,8192,7.172462680000081,67.2089409552619,482.0536207639449,483.7000000000007,1142.1460613302079,0.05884443612841124,69.9,99.74647887323944,60.485915492957744,822.3591549295775,5000.0,142
2026-09-21T10:26:25+00:00,Tesla T4,1,resnet18,256,fp16,70.0,8192,3.4409753709999222,66.69790549476326,229.50585010476075,231.29899999999907,2380.720323964267,0.028015850842866303,69.9,99.58823529411765,64.07352941176471,879.4852941176471,5000.0,68
2026-09-21T10:26:31+00:00,Tesla T4,1,resnet18,128,fp16,70.0,8192,3.4440134609999404,67.4178467061063,232.1879715674606,231.51699999999983,2378.6202036566724,0.02834325824798103,75.486,99.47058823529412,64.61764705882354,891.3970588235294,5000.0,68
2026-09-21T10:26:37+00:00,Tesla T4,1,resnet18,8,fp16,70.0,8192,4.3478570090001085,65.61828793623617,285.2989331221517,284.77100000000064,1884.146599817445,0.03482652992213766,69.998,97.27906976744185,41.151162790697676,1070.5813953488373,5000.0,86
2026-09-21T10:26:48+00:00,Tesla T4,1,resnet18,256,fp32,70.0,8192,7.123384332000114,66.52702294010402,473.8975528661491,480.4099999999962,1150.015163887674,0.05784882237135609,69.172,99.71830985915493,73.05633802816901,734.0492957746479,5000.0,142
2026-09-21T10:26:58+00:00,Tesla T4,1,resnet18,32,fp32,70.0,8192,7.6484830489998785,66.86739283167786,511.4341206039041,514.6200000000026,1071.0620586485045,0.06243092292528126,68.823,99.375,59.39473684210526,799.1447368421053,5000.0,152
2026-09-21T10:27:08+00:00,Tesla T4,1,resnet18,16,fp32,70.0,8192,7.967864136999879,66.90430282280104,533.0843950727761,529.2260000000024,1028.129980525059,0.06507377869540724,69.257,98.86075949367088,71.91772151898734,825.7594936708861,5000.0,158
2026-09-21T10:27:18+00:00,Tesla T4,1,resnet18,128,fp32,70.0,8192,7.403455483000016,66.64330527647977,493.390743854398,495.46800000000076,1106.5103341015094,0.06022836228691382,69.606,99.78231292517007,58.49659863945578,759.0816326530612,5000.0,147
2026-09-21T10:27:30+00:00,Tesla T4,2,resnet18,8,fp32,70.0,8192,10.37594236300015,66.34428585591036,688.3844861553318,694.4729999999981,789.518649333681,0.08403130934513328,69.551,99.08212560386474,56.61352657004831,893.3333333333334,5000.0,207
2026-09-21T10:27:36+00:00,Tesla T4,2,resnet18,128,fp16,70.0,8192,3.5539029130000017,66.10406805696995,234.92744002881585,242.79000000000087,2305.0714103736677,0.02867766601914256,68.529,99.42857142857143,62.8,843.8571428571429,5000.0,70
2026-09-21T10:27:46+00:00,Tesla T4,2,resnet18,32,fp32,70.0,8192,7.74687109499996,66.54045481379526,515.4803260451415,512.1290000000008,1057.4591857204566,0.06292484448793231,68.431,99.76623376623377,58.824675324675326,783.4090909090909,5000.0,154
2026-09-21T10:27:56+00:00,Tesla T4,2,resnet18,128,fp32,70.0,8192,7.445697399999972,66.44487190132033,494.72840995899196,498.627999999997,1100.232733068098,0.06039165160632226,68.725,99.78378378378379,58.101351351351354,751.8243243243244,5000.0,148
2026-09-21T10:28:06+00:00,Tesla T4,2,resnet18,64,fp32,70.0,8192,7.575184113999967,66.27576020176537,502.0510858236843,505.4170000000013,1081.4258606414692,0.06128553293746146,68.976,99.84105960264901,57.59602649006622,756.5562913907285,5000.0,151
2026-09-21T10:28:12+00:00,Tesla T4,2,resnet18,16,fp16,70.0,8192,4.006547514999966,65.18470156579467,261.165604074449,263.99199999999837,2044.6531507065056,0.03188056690361926,67.69,97.41772151898734,54.607594936708864,987.5316455696203,5000.0,79
2026-09-21T10:28:22+00:00,Tesla T4,2,resnet18,16,fp32,70.0,8192,8.099288446999935,66.62874914710727,539.6454582052227,538.8050000000003,1011.4468763036099,0.06587468972231722,68.571,98.94409937888199,70.86335403726709,799.6583850931677,5000.0,161
2026-09-21T10:28:33+00:00,Tesla T4,2,resnet18,256,fp32,70.0,8192,7.447728911000013,66.21542726435482,493.15455199095385,490.3209999999963,1099.9326234740804,0.06019953027233323,70.053,99.78378378378379,70.27702702702703,680.0675675675676,5000.0,148
2026-09-21T10:28:39+00:00,Tesla T4,2,resnet18,64,fp16,70.0,8192,3.6967692729999726,66.50153547147777,245.84083293827675,248.55999999999767,2215.9889879608563,0.030009867302035736,70.346,99.26027397260275,60.35616438356164,832.8082191780821,5000.0,73
2026-09-21T10:28:45+00:00,Tesla T4,2,resnet18,32,fp16,70.0,8192,3.8194905240000026,66.31811528847447,253.30141291386795,254.60299999999552,2144.788669725731,0.030920582631087396,68.138,97.53333333333333,58.93333333333333,882.8,5000.0,75
2026-09-21T10:28:52+00:00,Tesla T4,2,resnet18,8,fp16,70.0,8192,4.429402178999908,65.6471264272791,290.7775248420725,290.3969999999972,1849.4595137101842,0.035495303325448306,68.865,96.68181818181819,40.27272727272727,1038.2386363636363,5000.0,88
2026-09-21T10:28:58+00:00,Tesla T4,2,resnet18,256,fp16,70.0,8192,3.6406956759999503,66.43204139080184,241.858845839342,242.28499999999622,2250.1194082227134,0.029523784892497802,68.627,99.5,60.736111111111114,793.5416666666666,5000.0,72
2026-09-21T10:29:30+00:00,Tesla T4,0,distilbert,8,fp16,70.0,4096,3.234587165999983,66.78319232854828,216.0160568104308,216.02799999999843,1266.3130686520574,0.05273829511973408,92.446,92.515625,36.4375,886.171875,5000.0,64
